"Dato";"Fra";"Til";"Organisasjonsenhet (1)";"Arbeidsområde (2)";"Prosjekt";"Prosjektaktivitet (3)";"Dimensjon 4";"Dimensjon 5";"Fakt.";"Kommentar";"Sum"
"01.02.2018";"08:00";"15:30";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"07:30"
"01.02.2018";"";"";"";"";"";"";"";"";"";"";"07:30"
"02.02.2018";"08:00";"15:30";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"07:30"
"02.02.2018";"";"";"";"";"";"";"";"";"";"";"07:30"
"05.02.2018";"08:00";"14:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"06:00"
"05.02.2018";"08:00";"10:13";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"02:13"
"05.02.2018";"";"";"";"";"";"";"";"";"";"";"08:13"
"06.02.2018";"08:00";"12:19";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"04:19"
"06.02.2018";"08:00";"11:53";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"03:53"
"06.02.2018";"";"";"";"";"";"";"";"";"";"";"08:12"
"07.02.2018";"08:00";"12:11";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"04:11"
"07.02.2018";"08:00";"12:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"04:00"
"07.02.2018";"";"";"";"";"";"";"";"";"";"";"08:11"
"08.02.2018";"08:00";"11:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"03:00"
"08.02.2018";"08:00";"12:28";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"04:28"
"08.02.2018";"";"";"";"";"";"";"";"";"";"";"07:28"
"09.02.2018";"08:00";"10:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"02:00"
"09.02.2018";"08:00";"13:41";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"05:41"
"09.02.2018";"";"";"";"";"";"";"";"";"";"";"07:41"
"12.02.2018";"08:00";"09:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"01:00"
"12.02.2018";"08:00";"14:26";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"06:26"
"12.02.2018";"";"";"";"";"";"";"";"";"";"";"07:26"
"13.02.2018";"08:00";"09:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"01:00"
"13.02.2018";"08:00";"15:20";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"07:20"
"13.02.2018";"";"";"";"";"";"";"";"";"";"";"08:20"
"14.02.2018";"08:00";"09:00";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"4010 Kompetanse og opplæring i prosjekt";"-tom-";"";"";"01:00"
"14.02.2018";"08:00";"15:53";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"07:53"
"14.02.2018";"";"";"";"";"";"";"";"";"";"";"08:53"
"15.02.2018";"08:00";"16:13";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"08:13"
"15.02.2018";"";"";"";"";"";"";"";"";"";"";"08:13"
"16.02.2018";"08:00";"09:58";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"01:58"
"16.02.2018";"08:19";"23:59";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"04:16"
"16.02.2018";"";"";"";"";"";"";"";"";"";"";"06:14"
"19.02.2018";"07:26";"16:01";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"08:05"
"19.02.2018";"";"";"";"";"";"";"";"";"";"";"08:05"
"20.02.2018";"06:20";"15:33";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"08:43"
"20.02.2018";"";"";"";"";"";"";"";"";"";"";"08:43"
"21.02.2018";"07:58";"15:26";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"06:58"
"21.02.2018";"";"";"";"";"";"";"";"";"";"";"06:58"
"22.02.2018";"07:53";"16:06";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"07:43"
"22.02.2018";"";"";"";"";"";"";"";"";"";"";"07:43"
"23.02.2018";"07:49";"15:24";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"07:35"
"23.02.2018";"";"";"";"";"";"";"";"";"";"";"07:35"
"26.02.2018";"07:55";"16:07";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"07:42"
"26.02.2018";"";"";"";"";"";"";"";"";"";"";"07:42"
"27.02.2018";"06:19";"15:40";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"09:21"
"27.02.2018";"";"";"";"";"";"";"";"";"";"";"09:21"
"28.02.2018";"06:22";"15:22";"KONSULENTER";"81110 Prosjektarbeid";"994701 SIRIUS";"994701 SIRIUS";"5004 Konstruksjon";"-tom-";"";"";"09:00"
"28.02.2018";"";"";"";"";"";"";"";"";"";"";"09:00"
